iter	Passed	Remaining
0	157	157798
1	161	80629
2	164	54589
3	166	41434
4	169	33646
5	172	28525
6	173	24665
7	176	21905
8	178	19665
9	180	17875
10	182	16434
11	190	15656
12	192	14610
13	195	13764
14	198	13053
15	201	12390
16	204	11800
17	205	11232
18	207	10728
19	209	10282
20	214	9999
21	217	9659
22	220	9374
23	223	9092
24	229	8943
25	232	8697
26	235	8469
27	239	8306
28	243	8159
29	247	7988
30	249	7814
31	253	7671
32	259	7598
33	261	7440
34	267	7362
35	275	7390
36	280	7293
37	286	7249
38	292	7207
39	294	7076
40	297	6968
41	306	6985
42	311	6925
43	313	6816
44	317	6738
45	321	6658
46	325	6592
47	331	6578
48	335	6517
49	339	6456
50	342	6379
51	347	6327
52	350	6262
53	355	6224
54	357	6142
55	362	6106
56	364	6034
57	370	6012
58	376	5997
59	386	6048
60	392	6042
61	397	6006
62	405	6028
63	409	5992
64	415	5976
65	419	5941
66	423	5902
67	429	5884
68	435	5879
69	441	5862
70	445	5834
71	451	5819
72	455	5783
73	462	5788
74	466	5750
75	469	5705
76	473	5676
77	476	5635
78	481	5616
79	486	5597
80	489	5557
81	494	5533
82	497	5500
83	501	5468
84	506	5453
85	509	5412
86	512	5383
87	516	5350
88	519	5319
89	523	5298
90	527	5273
91	532	5254
92	537	5241
93	542	5225
94	545	5192
95	548	5167
96	552	5143
97	556	5125
98	559	5090
99	565	5089
100	569	5070
101	575	5066
102	579	5049
103	585	5041
104	588	5020
105	593	5002
106	597	4989
107	600	4959
108	605	4949
109	609	4927
110	612	4906
111	615	4878
112	618	4851
113	622	4838
114	626	4820
115	629	4799
116	631	4769
117	635	4751
118	638	4728
119	642	4708
120	645	4691
121	648	4664
122	652	4650
123	656	4637
124	659	4618
125	664	4607
126	668	4592
127	671	4575
128	675	4560
129	679	4545
130	682	4530
131	686	4515
132	690	4500
133	693	4482
134	698	4478
135	703	4471
136	706	4451
137	710	4441
138	714	4423
139	717	4407
140	721	4395
141	723	4373
142	728	4363
143	730	4344
144	733	4327
145	738	4318
146	741	4304
147	744	4288
148	748	4273
149	751	4257
150	755	4250
151	759	4237
152	762	4223
153	766	4210
154	769	4195
155	772	4179
156	775	4165
157	779	4153
158	785	4156
159	788	4139
160	790	4120
161	795	4114
162	799	4106
163	803	4095
164	808	4091
165	812	4080
166	817	4076
167	820	4063
168	823	4047
169	826	4034
170	829	4022
171	833	4010
172	836	3999
173	841	3992
174	843	3977
175	847	3968
176	851	3960
177	854	3946
178	857	3934
179	861	3922
180	863	3909
181	867	3899
182	870	3886
183	873	3874
184	876	3862
185	880	3853
186	883	3840
187	886	3827
188	890	3819
189	892	3806
190	896	3798
191	900	3789
192	904	3780
193	907	3769
194	914	3774
195	916	3761
196	920	3752
197	923	3739
198	926	3729
199	929	3717
200	932	3705
201	935	3694
202	940	3692
203	945	3688
204	949	3681
205	952	3672
206	955	3661
207	959	3653
208	963	3647
209	966	3637
210	970	3629
211	974	3623
212	977	3611
213	980	3600
214	983	3590
215	986	3579
216	989	3570
217	993	3563
218	997	3555
219	1000	3546
220	1004	3541
221	1009	3536
222	1013	3532
223	1018	3527
224	1022	3520
225	1025	3510
226	1027	3498
227	1029	3485
228	1032	3474
229	1035	3468
230	1038	3457
231	1041	3446
232	1043	3435
233	1046	3425
234	1051	3422
235	1053	3412
236	1057	3405
237	1060	3395
238	1064	3390
239	1068	3382
240	1071	3375
241	1075	3368
242	1079	3362
243	1082	3354
244	1086	3347
245	1089	3340
246	1094	3336
247	1098	3330
248	1101	3323
249	1105	3315
250	1109	3310
